,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",60.40(36.86),92.32(4.69),97.20(1.31),99.75(0.12),83.15(15.84),412.07(69.26)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",48.60(26.93),93.82(3.43),97.00(0.78),99.18(1.11),93.15(2.16),464.23(0.92)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",137.40(41.31),82.52(5.26),93.47(3.58),99.37(0.36),82.98(11.80),475.29(15.92)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",92.40(70.17),88.24(8.93),94.57(2.06),94.03(10.58),88.37(5.05),473.17(3.17)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",101.60(69.89),87.07(8.89),94.56(3.87),99.47(0.41),88.66(9.17),465.12(6.90)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",202.80(256.36),74.20(32.62),85.20(18.21),97.39(3.62),82.28(18.61),453.13(1.97)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",78.20(43.60),90.05(5.55),96.26(1.78),99.65(0.17),91.89(3.83),367.64(51.37)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",204.60(289.61),73.97(36.85),86.72(18.63),86.79(13.58),81.09(18.87),302.61(46.64)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",153.00(48.83),80.53(6.21),93.77(2.64),99.41(0.27),83.49(11.80),253.82(41.40)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",130.40(60.85),83.41(7.74),94.39(1.47),94.66(10.82),79.87(11.59),222.16(49.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",250.80(264.46),68.09(33.65),83.99(23.88),96.76(6.12),81.47(17.81),236.65(17.82)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",104.80(79.42),86.67(10.10),93.52(4.15),96.20(6.97),81.92(12.35),106.91(88.92)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",233.40(278.37),70.31(35.42),79.53(35.45),95.42(9.28),83.21(19.10),39.31(4.45)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",132.40(79.53),83.16(10.12),92.30(5.31),94.84(9.98),90.11(5.38),88.22(108.26)
