,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",331.80(13.77),57.79(1.75),81.99(2.82),98.41(0.25),76.89(0.96),763.71(33.49)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",333.40(11.15),57.58(1.42),81.72(2.79),98.39(0.24),76.78(0.78),827.00(103.90)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",333.80(11.95),57.53(1.52),81.42(2.13),98.36(0.19),76.75(0.83),807.56(70.18)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",338.00(15.33),57.00(1.95),81.15(2.14),98.34(0.19),76.46(1.07),489.38(92.78)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",342.80(17.12),56.39(2.18),80.83(2.09),98.31(0.18),76.13(1.19),407.70(83.67)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",331.80(10.35),57.79(1.32),85.16(3.12),98.69(0.27),76.89(0.72),365.92(9.78)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",333.80(12.99),57.53(1.65),84.88(3.04),98.66(0.26),76.75(0.90),422.48(85.52)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",337.40(14.15),57.07(1.80),84.68(3.41),98.65(0.30),76.50(0.99),345.08(11.55)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",333.80(17.30),57.53(2.20),84.52(3.25),98.63(0.28),76.75(1.20),338.42(9.67)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",336.40(17.52),57.20(2.23),83.69(3.60),98.56(0.31),76.57(1.22),378.50(38.54)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",338.40(16.70),56.95(2.12),94.68(1.52),99.51(0.13),76.43(1.16),338.19(6.76)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",333.00(15.22),57.63(1.94),94.31(1.67),99.48(0.14),76.81(1.06),344.01(11.51)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",331.40(11.15),57.84(1.42),93.64(1.91),99.42(0.17),76.92(0.78),377.05(43.52)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",326.60(12.68),58.45(1.61),92.15(2.40),99.30(0.21),77.26(0.88),342.36(8.08)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",330.20(12.46),57.99(1.58),88.58(2.83),98.99(0.24),77.01(0.87),339.92(10.51)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",326.20(16.98),58.50(2.16),94.58(1.51),99.51(0.13),77.28(1.18),384.29(41.82)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",322.40(13.67),58.98(1.74),94.19(1.67),99.47(0.14),77.55(0.95),337.95(11.94)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",326.40(12.42),58.47(1.58),93.66(1.97),99.43(0.17),77.27(0.87),346.84(13.20)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",322.20(14.65),59.01(1.86),91.92(2.55),99.28(0.22),77.56(1.02),378.65(42.45)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",323.20(9.93),58.88(1.26),88.66(3.01),98.99(0.26),77.49(0.69),349.10(11.08)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",323.80(19.38),58.80(2.47),93.27(1.96),99.39(0.17),77.45(1.35),399.13(97.73)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",323.20(21.36),58.88(2.72),92.48(2.38),99.32(0.21),77.49(1.49),406.34(79.76)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",324.60(6.43),58.70(0.82),92.03(2.52),99.29(0.22),77.40(0.45),370.04(6.85)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",327.60(9.56),58.32(1.22),91.18(2.37),99.21(0.20),77.19(0.67),424.91(62.81)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",329.20(7.01),58.12(0.89),87.84(3.16),98.92(0.27),77.08(0.49),336.75(8.13)
