,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",139.20(3.35),87.29(0.31),49.49(0.25),51.17(0.29),87.30(0.31),183.14(0.80)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",134.80(4.87),87.69(0.44),49.62(0.12),51.68(0.38),87.70(0.44),183.36(0.58)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.80(4.09),88.15(0.37),49.69(0.08),50.88(0.40),88.16(0.37),39.62(0.19)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.80(4.09),88.15(0.37),49.69(0.08),50.88(0.40),88.16(0.37),39.56(0.31)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.40(6.88),88.46(0.63),49.54(0.22),51.12(0.11),88.47(0.63),38.68(0.42)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.40(6.88),88.46(0.63),49.54(0.22),51.12(0.11),88.47(0.63),38.55(0.35)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.60(3.71),88.16(0.34),49.57(0.31),51.27(0.82),88.18(0.34),75.23(0.42)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.60(3.71),88.16(0.34),49.57(0.31),51.27(0.82),88.18(0.34),75.55(0.24)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.20(3.83),88.20(0.35),50.00(0.15),51.46(0.37),88.21(0.35),73.78(0.35)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",129.20(3.83),88.20(0.35),50.00(0.15),51.46(0.37),88.21(0.35),74.12(0.32)
