,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",303.60(2.51),75.56(0.20),52.88(0.26),78.45(0.16),50.23(0.26),19.29(0.14)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",305.00(1.58),75.44(0.13),52.94(0.30),78.50(0.22),50.17(0.26),19.27(0.61)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",306.80(4.32),75.30(0.35),51.99(0.28),77.52(0.28),50.57(0.38),19.17(0.22)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",305.00(3.32),75.44(0.27),52.24(0.11),77.69(0.19),50.55(0.29),18.86(0.53)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",305.00(2.45),75.44(0.20),52.45(0.35),77.91(0.27),50.68(0.28),18.65(0.30)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",304.40(2.07),75.49(0.17),52.62(0.41),77.96(0.31),50.74(0.17),18.24(0.36)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",306.80(4.32),75.30(0.35),51.99(0.28),77.52(0.28),50.57(0.38),19.14(0.55)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",305.00(3.32),75.44(0.27),52.24(0.11),77.69(0.19),50.55(0.29),18.99(0.29)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",305.00(2.45),75.44(0.20),52.45(0.35),77.91(0.27),50.68(0.28),18.27(0.38)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",304.40(2.07),75.49(0.17),52.62(0.41),77.96(0.31),50.74(0.17),18.61(0.49)
