,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1675.80(7.19),63.57(0.16),41.59(0.14),33.39(0.12),53.96(0.19),2628.50(2.57)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1677.00(4.47),63.54(0.10),41.82(0.22),33.46(0.13),53.94(0.13),2466.62(6.67)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1744.00(5.61),62.09(0.12),43.91(0.22),34.76(0.13),52.05(0.15),519.70(8.25)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1743.60(5.90),62.10(0.13),44.06(0.20),34.88(0.05),52.05(0.16),488.70(4.24)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1745.20(1.79),62.06(0.04),44.25(0.25),34.98(0.17),52.01(0.06),491.60(5.05)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1743.20(1.64),62.10(0.04),44.10(0.26),34.89(0.09),52.07(0.03),464.42(3.50)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1740.00(3.67),62.17(0.08),44.08(0.13),34.90(0.04),52.16(0.10),2533.62(24.47)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1742.20(4.66),62.13(0.10),44.16(0.11),34.93(0.08),52.10(0.12),2390.54(15.77)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1742.00(2.74),62.13(0.06),44.11(0.18),34.88(0.13),52.10(0.08),2406.40(49.80)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1740.80(4.66),62.16(0.10),44.32(0.21),34.98(0.16),52.14(0.12),2284.70(31.01)
