,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.80(0.00),38.34(0.00),48.52(0.00),1.76(0.05)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",300.00(6.89),60.89(0.90),51.21(0.23),38.28(0.12),51.13(0.47),198.13(27.23)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.74(0.00),37.93(0.00),48.52(0.00),1.76(0.02)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",307.00(24.79),59.97(3.23),51.51(0.73),38.02(0.55),51.24(0.53),171.51(82.80)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.80(0.00),38.34(0.00),48.52(0.00),1.79(0.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",295.80(2.05),61.43(0.27),51.19(0.28),38.50(0.11),51.34(0.34),24.74(0.64)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.74(0.00),37.93(0.00),48.52(0.00),1.78(0.02)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",296.20(2.49),61.38(0.32),51.29(0.04),38.52(0.05),51.10(0.28),24.86(0.43)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.80(0.00),38.34(0.00),48.52(0.00),1.75(0.04)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",296.60(1.95),61.33(0.25),51.33(0.16),38.53(0.04),51.12(0.25),89.60(1.50)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.74(0.00),37.93(0.00),48.52(0.00),1.78(0.05)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",296.00(0.71),61.41(0.09),51.38(0.09),38.57(0.07),51.22(0.16),90.14(0.95)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),52.80(0.00),38.34(0.00),48.52(0.00),1.80(0.09)
