,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1229.20(4.76),61.53(0.15),52.16(0.35),54.86(0.16),60.63(0.14),2181.32(166.52)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1227.20(7.79),61.59(0.24),52.20(0.18),54.71(0.17),60.69(0.25),1892.90(19.10)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1206.00(8.46),62.25(0.26),52.10(0.15),54.68(0.23),61.36(0.27),270.30(14.90)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1206.40(7.16),62.24(0.22),52.05(0.20),54.77(0.29),61.35(0.22),244.29(2.80)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1215.80(13.46),61.95(0.42),51.98(0.19),54.27(0.29),61.05(0.43),237.70(11.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1214.40(9.02),61.99(0.28),51.92(0.18),54.01(0.23),61.10(0.28),212.62(3.56)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1207.20(8.44),62.22(0.26),52.24(0.30),54.85(0.21),61.33(0.26),820.94(66.82)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1214.20(9.83),62.00(0.31),51.95(0.24),54.60(0.22),61.11(0.32),721.47(8.63)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1207.20(13.08),62.22(0.41),51.91(0.14),54.33(0.27),61.34(0.41),735.78(30.41)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1215.20(15.72),61.97(0.49),51.86(0.15),54.06(0.30),61.07(0.51),622.33(6.22)
