,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.79),71.00(0.19),50.22(0.43),70.87(0.29),50.47(0.22),15.74(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.30),71.00(0.14),50.00(0.28),70.71(0.27),50.51(0.17),15.04(0.15)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(0.84),71.00(0.09),50.04(0.30),70.43(0.22),50.77(0.12),15.20(0.30)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(1.30),71.06(0.14),50.10(0.22),70.37(0.29),50.82(0.17),14.53(0.22)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(3.19),71.06(0.33),50.05(0.59),70.48(0.24),50.86(0.32),14.36(0.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(1.92),71.06(0.20),49.89(0.34),70.19(0.39),50.88(0.29),13.80(0.38)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(0.84),71.00(0.09),50.04(0.30),70.43(0.22),50.77(0.12),15.13(0.15)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(1.30),71.06(0.14),50.10(0.22),70.37(0.29),50.82(0.17),14.37(0.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(3.19),71.06(0.33),50.05(0.59),70.48(0.24),50.86(0.32),14.33(0.21)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.20(1.92),71.06(0.20),49.89(0.34),70.19(0.39),50.88(0.29),13.84(0.12)
