,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",17.80(2.59),97.73(0.33),88.41(1.07),98.91(0.11),94.43(1.58),29.18(0.36)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",17.80(2.59),97.73(0.33),87.51(1.11),98.81(0.12),94.57(1.64),28.53(0.05)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",13.00(2.00),98.34(0.25),70.55(5.43),96.02(1.81),95.58(0.83),5.97(0.10)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",13.00(2.00),98.34(0.25),69.72(5.06),95.58(1.87),95.58(0.83),5.92(0.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.80(0.84),98.37(0.11),69.70(4.18),95.36(1.51),95.59(0.79),5.89(0.12)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",13.00(1.00),98.34(0.13),68.80(4.58),95.15(1.72),95.58(0.79),5.86(0.08)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.00(1.41),98.47(0.18),78.59(3.49),97.41(0.82),95.65(0.84),24.23(0.28)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",11.80(1.10),98.50(0.14),78.44(3.83),97.34(0.89),95.66(0.81),24.22(0.39)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.20(1.48),98.45(0.19),79.22(4.61),97.25(1.39),95.63(0.83),24.17(0.41)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",11.80(1.10),98.50(0.14),79.10(4.69),97.25(1.26),95.66(0.81),24.15(0.42)
