,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13.80(0.84),98.24(0.11),93.59(0.04),91.66(0.10),93.91(0.06),48.09(0.64)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",87.20(1.30),88.91(0.17),nan(nan),nan(nan),49.91(0.09),47.45(0.41)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",417.60(6.69),46.87(0.85),15.77(2.24),6.40(0.14),27.84(0.48),45.60(4.02)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",177.60(44.35),77.40(5.64),48.57(1.36),12.80(2.84),52.64(2.95),46.31(1.45)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",90.00(0.71),88.55(0.09),nan(nan),nan(nan),49.71(0.05),45.49(0.83)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",122.20(15.91),84.45(2.02),62.82(2.42),25.42(2.23),65.88(1.22),43.57(0.39)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.20(27.87),62.19(3.55),50.19(1.94),12.80(1.64),51.95(3.07),43.32(0.38)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",90.00(1.22),88.55(0.16),nan(nan),nan(nan),49.71(0.09),43.80(0.47)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),92.03(0.23),65.38(0.75),50.00(0.00),43.53(0.26)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",16.80(0.45),97.86(0.06),96.76(0.10),94.40(0.18),91.76(0.26),43.85(0.89)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),43.00(0.11)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),33.13(1.68),7.54(0.18),50.00(0.00),43.12(0.36)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",14.00(1.22),98.22(0.16),94.65(0.28),92.21(0.33),94.10(0.35),43.73(0.61)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),43.76(0.22)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",418.00(14.75),46.82(1.88),20.58(0.85),6.67(0.08),28.12(1.12),42.73(0.16)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",160.60(48.76),79.57(6.20),58.45(1.14),21.47(3.76),60.48(3.02),42.11(0.33)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",89.60(2.07),88.60(0.26),nan(nan),nan(nan),49.74(0.15),41.07(2.20)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),42.56(0.96)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),41.66(0.63)
