,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",6748.60(19.71),64.52(0.10),48.54(0.87),62.61(0.57),52.03(0.34),5.93(0.39)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.60(1.34),35.18(0.01),nan(nan),nan(nan),50.00(0.01),6.01(0.56)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9237.80(84.36),51.43(0.44),48.60(0.41),62.65(0.25),49.53(0.45),5.13(0.24)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9200.40(50.78),51.63(0.27),48.90(0.49),62.85(0.46),49.73(0.46),5.13(0.22)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12330.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),5.67(0.56)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9633.80(115.81),49.35(0.61),50.15(0.36),63.71(0.36),49.95(0.31),6.31(0.06)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8900.40(118.00),53.21(0.62),49.58(0.28),63.46(0.30),50.12(0.22),5.88(0.51)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.80(1.79),35.17(0.01),nan(nan),nan(nan),50.00(0.01),6.01(0.65)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",8905.60(368.77),53.18(1.94),53.77(1.56),65.63(1.15),52.31(0.49),6.35(0.18)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",10267.60(1679.04),46.02(8.83),54.13(2.30),65.94(1.70),51.53(1.32),6.30(0.21)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),5.23(0.14)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",8468.80(188.97),55.47(0.99),53.07(1.23),65.35(0.84),52.51(0.48),5.00(0.06)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",8930.60(1293.63),53.05(6.80),51.11(2.51),64.06(1.58),51.51(0.96),5.09(0.12)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),4.97(0.16)
