,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",277.80(0.45),71.03(0.05),53.22(0.15),72.88(0.11),50.56(0.03),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",683.00(1.00),28.78(0.10),nan(nan),nan(nan),49.81(0.19),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",463.20(9.76),51.70(1.02),49.86(3.06),70.58(1.81),50.14(2.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",437.00(15.08),54.43(1.57),51.26(1.54),71.85(0.92),51.10(1.84),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",681.60(1.52),28.93(0.16),nan(nan),nan(nan),50.07(0.17),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",583.00(8.28),39.21(0.86),49.41(0.83),70.76(0.50),49.69(0.56),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.80(14.24),68.95(1.48),52.41(1.12),72.15(0.62),50.55(0.47),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",680.00(1.22),29.09(0.13),nan(nan),nan(nan),50.23(0.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",279.00(0.71),70.91(0.07),53.42(0.29),73.56(0.17),50.14(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",279.20(1.10),70.89(0.11),53.57(0.41),73.68(0.19),50.08(0.09),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",682.20(1.30),28.86(0.14),nan(nan),nan(nan),49.98(0.15),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",278.20(0.84),70.99(0.09),53.06(0.34),73.22(0.39),50.53(0.06),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",278.00(0.71),71.01(0.07),53.27(0.38),73.61(0.17),50.54(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",682.40(1.52),28.84(0.16),nan(nan),nan(nan),49.96(0.17),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",462.40(11.67),51.78(1.22),48.82(2.05),70.04(1.43),49.56(1.57),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",437.00(15.70),54.43(1.64),50.15(1.63),71.72(0.80),49.44(2.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",681.40(1.34),28.95(0.14),nan(nan),nan(nan),50.10(0.15),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.29(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",277.80(0.84),71.03(0.09),52.94(0.48),72.90(0.62),50.53(0.08),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",277.80(0.45),71.03(0.05),53.22(0.15),72.88(0.11),50.56(0.03),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",683.00(1.00),28.78(0.10),nan(nan),nan(nan),49.81(0.19),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",463.40(9.91),51.68(1.03),49.86(3.06),70.58(1.81),50.10(2.14),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",436.80(14.91),54.45(1.55),51.26(1.54),71.85(0.93),51.11(1.84),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",681.60(1.52),28.93(0.16),nan(nan),nan(nan),50.07(0.17),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",582.80(9.12),39.23(0.95),49.51(0.97),70.80(0.52),49.68(0.57),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.80(14.24),68.95(1.48),52.41(1.11),72.15(0.62),50.55(0.47),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",680.00(1.22),29.09(0.13),nan(nan),nan(nan),50.23(0.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",279.00(0.71),70.91(0.07),53.45(0.27),73.65(0.14),50.14(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",279.40(1.14),70.87(0.12),53.50(0.39),73.68(0.19),50.07(0.11),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",682.60(1.34),28.82(0.14),nan(nan),nan(nan),49.95(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",278.20(0.84),70.99(0.09),53.09(0.34),73.24(0.39),50.53(0.06),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",278.00(0.71),71.01(0.07),53.22(0.31),73.53(0.17),50.54(0.05),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",682.60(1.34),28.82(0.14),nan(nan),nan(nan),49.95(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",470.80(11.28),50.91(1.18),48.12(1.85),69.70(0.70),48.76(1.65),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",449.80(15.02),53.10(1.57),49.34(2.16),71.12(1.09),49.05(2.19),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",681.40(1.34),28.95(0.14),nan(nan),nan(nan),50.10(0.15),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",684.80(0.45),28.59(0.05),nan(nan),nan(nan),49.62(0.03),0.28(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.27(0.02)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",684.80(0.45),28.59(0.05),nan(nan),nan(nan),49.62(0.03),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",684.40(0.55),28.63(0.06),nan(nan),nan(nan),49.78(0.16),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",684.80(0.45),28.59(0.05),nan(nan),nan(nan),49.62(0.03),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",277.80(0.84),71.03(0.09),52.74(0.38),73.59(0.31),50.53(0.08),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",277.80(0.45),71.03(0.05),53.21(0.07),73.66(0.01),50.56(0.03),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",682.80(0.84),28.80(0.09),nan(nan),nan(nan),49.85(0.14),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",464.00(11.38),51.62(1.19),49.80(3.12),70.56(1.85),49.99(2.33),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",439.00(11.62),54.22(1.21),51.25(1.34),71.80(0.75),50.95(1.73),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",681.20(1.30),28.97(0.14),nan(nan),nan(nan),50.12(0.14),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",584.40(3.51),39.06(0.37),49.36(0.56),70.27(0.51),49.80(0.84),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",296.20(16.78),69.11(1.75),52.69(0.97),72.95(0.29),50.54(0.52),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",680.00(1.22),29.09(0.13),nan(nan),nan(nan),50.23(0.12),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",278.60(0.89),70.95(0.09),53.34(0.34),73.04(0.46),50.17(0.07),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",279.20(1.10),70.89(0.11),53.62(0.31),72.85(0.25),50.08(0.09),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",682.20(1.30),28.86(0.14),nan(nan),nan(nan),49.98(0.15),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",278.20(1.10),70.99(0.11),52.95(0.86),73.07(0.50),50.51(0.09),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",278.00(0.71),71.01(0.07),53.10(0.38),72.71(0.28),50.54(0.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",682.40(1.52),28.84(0.16),nan(nan),nan(nan),49.96(0.17),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",464.80(6.06),51.53(0.63),48.87(2.61),70.44(1.96),49.04(1.94),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",436.40(8.53),54.49(0.89),50.64(0.96),72.21(0.64),49.60(1.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",681.40(1.34),28.95(0.14),nan(nan),nan(nan),50.10(0.15),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.29(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.60(0.00),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",685.00(0.00),28.57(0.00),nan(nan),nan(nan),49.62(0.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",277.80(0.84),71.03(0.09),52.74(0.38),73.59(0.31),50.53(0.08),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",277.80(0.45),71.03(0.05),53.21(0.07),73.66(0.01),50.56(0.03),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",682.80(0.84),28.80(0.09),nan(nan),nan(nan),49.85(0.14),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",464.00(11.38),51.62(1.19),49.80(3.12),70.56(1.85),49.99(2.33),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",439.00(11.62),54.22(1.21),51.25(1.34),71.80(0.75),50.95(1.73),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",681.20(1.30),28.97(0.14),nan(nan),nan(nan),50.12(0.14),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",584.40(3.51),39.06(0.37),49.36(0.56),70.27(0.51),49.80(0.84),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",296.20(16.78),69.11(1.75),52.69(0.97),72.95(0.29),50.54(0.52),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",680.00(1.22),29.09(0.13),nan(nan),nan(nan),50.23(0.12),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",278.60(0.89),70.95(0.09),53.34(0.34),73.04(0.47),50.17(0.07),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",279.20(1.10),70.89(0.11),53.62(0.31),72.85(0.25),50.08(0.09),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",682.20(1.30),28.86(0.14),nan(nan),nan(nan),49.98(0.15),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",278.20(1.10),70.99(0.11),52.94(0.87),73.07(0.50),50.51(0.09),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",278.00(0.71),71.01(0.07),53.10(0.38),72.71(0.28),50.54(0.05),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",682.40(1.52),28.84(0.16),nan(nan),nan(nan),49.96(0.17),0.26(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",464.00(7.78),51.62(0.81),48.60(1.93),70.18(1.63),48.82(1.89),0.26(0.00)
