,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.80(22.91),62.79(2.98),48.87(nan),34.02(nan),50.25(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",368.40(7.23),52.03(0.94),48.34(1.31),35.12(1.17),48.93(1.05),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",368.60(14.08),52.01(1.83),48.50(1.53),35.32(0.95),49.06(1.77),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",272.20(3.35),64.56(0.44),nan(nan),nan(nan),50.05(0.36),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",412.80(4.09),46.25(0.53),52.55(0.28),40.51(1.02),50.37(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",368.20(15.11),52.06(1.97),48.68(1.78),37.35(1.85),48.93(1.45),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",270.40(1.67),64.79(0.22),nan(nan),nan(nan),50.09(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",287.00(28.81),62.63(3.75),nan(nan),nan(nan),49.83(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",291.20(35.48),62.08(4.62),47.55(nan),36.54(nan),49.67(0.63),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",268.80(0.84),65.00(0.11),nan(nan),nan(nan),50.04(0.13),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",289.20(33.32),62.34(4.34),nan(nan),nan(nan),49.63(0.93),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",291.60(36.86),62.03(4.80),46.48(nan),35.38(nan),49.51(1.03),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",268.80(0.84),65.00(0.11),nan(nan),nan(nan),50.04(0.13),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",376.40(5.73),50.99(0.75),48.00(1.40),35.46(0.92),48.32(1.06),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",362.60(13.37),52.79(1.74),50.52(1.92),36.88(2.05),50.70(1.70),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",268.20(1.92),65.08(0.25),nan(nan),nan(nan),50.22(0.28),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
