,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",7039.60(5.13),62.99(0.03),48.79(0.26),62.96(0.22),51.89(0.10),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.40(2.51),35.18(0.01),nan(nan),nan(nan),49.99(0.02),4.35(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9190.80(21.00),51.68(0.11),49.54(0.16),63.21(0.10),49.96(0.07),4.34(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9224.00(45.13),51.50(0.24),49.35(0.14),63.10(0.18),49.75(0.22),4.31(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12328.00(1.22),35.18(0.01),nan(nan),nan(nan),50.00(0.01),4.34(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9573.60(68.32),49.67(0.36),49.91(0.36),63.41(0.31),49.91(0.40),4.34(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8951.80(106.82),52.93(0.56),49.76(0.66),63.52(0.53),50.39(0.49),4.29(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.35(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",11373.00(1402.77),40.21(7.38),51.32(nan),64.30(nan),50.10(0.37),4.30(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12110.00(183.02),36.33(0.96),nan(nan),nan(nan),50.09(0.16),4.33(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12331.40(2.88),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.34(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",10735.60(1832.46),43.56(9.63),51.04(0.89),64.28(0.24),50.46(0.66),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11982.20(315.06),37.00(1.66),nan(nan),nan(nan),50.14(0.23),4.34(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12331.40(2.88),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.35(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9228.60(37.66),51.48(0.20),49.50(0.15),63.30(0.18),49.97(0.17),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9256.20(59.40),51.33(0.31),49.33(0.22),63.15(0.18),49.79(0.28),4.33(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12331.20(1.10),35.17(0.01),nan(nan),nan(nan),49.99(0.01),4.35(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.33(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.37(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12331.80(1.64),35.16(0.01),nan(nan),nan(nan),50.00(0.01),4.38(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.34(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.36(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12331.80(1.64),35.16(0.01),nan(nan),nan(nan),50.00(0.01),4.38(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.34(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.37(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12331.80(1.64),35.16(0.01),nan(nan),nan(nan),50.00(0.01),4.39(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",7042.60(56.63),62.97(0.30),48.46(1.43),62.68(1.30),51.84(0.20),4.32(0.06)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",7039.60(5.13),62.99(0.03),48.79(0.26),62.96(0.22),51.89(0.10),4.35(0.15)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.40(2.51),35.18(0.01),nan(nan),nan(nan),49.99(0.02),4.40(0.09)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9192.20(41.20),51.67(0.22),49.35(0.12),63.10(0.11),49.96(0.13),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9217.20(38.75),51.54(0.20),49.30(0.22),63.06(0.21),49.81(0.20),4.39(0.15)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12328.00(1.22),35.18(0.01),nan(nan),nan(nan),50.00(0.01),4.35(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9618.60(63.63),49.43(0.33),49.67(0.22),63.24(0.23),49.68(0.30),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8933.80(106.07),53.03(0.56),49.86(0.62),63.59(0.48),50.50(0.37),4.34(0.04)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.35(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",12329.20(4.97),35.18(0.03),nan(nan),nan(nan),49.95(0.01),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12315.60(26.06),35.25(0.14),nan(nan),nan(nan),49.98(0.05),4.34(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12332.00(1.41),35.16(0.01),nan(nan),nan(nan),49.98(0.01),4.35(0.11)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",12321.40(17.76),35.22(0.09),nan(nan),nan(nan),49.96(0.02),4.52(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",12314.80(26.30),35.25(0.14),nan(nan),nan(nan),49.99(0.06),4.54(0.10)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12332.00(1.41),35.16(0.01),nan(nan),nan(nan),49.98(0.01),4.59(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",11999.40(268.86),36.91(1.41),nan(nan),nan(nan),50.04(0.10),4.46(0.06)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",12013.40(209.83),36.84(1.10),nan(nan),nan(nan),50.19(0.17),4.56(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12330.60(1.52),35.17(0.01),nan(nan),nan(nan),49.99(0.01),4.53(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.35(0.04)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.59(0.09)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(1.41),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.60(0.10)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.53(0.03)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.57(0.09)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(1.41),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.54(0.11)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12331.60(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.55(0.02)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",12331.80(1.10),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.48(0.16)
"{'T': 8, 'gamma': 1, 'alpha': 1, 'beta0': 1, 'beta1': 1, 'beta2': 1}",12332.00(1.41),35.16(0.01),nan(nan),nan(nan),49.99(0.01),4.49(0.16)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",7039.00(59.33),62.99(0.31),48.35(1.58),62.49(1.56),51.84(0.17),4.50(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",7045.40(3.78),62.96(0.02),48.86(0.23),63.05(0.19),51.85(0.08),4.50(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.80(3.83),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.49(0.14)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9174.80(17.85),51.76(0.09),49.59(0.21),63.23(0.15),50.06(0.12),4.53(0.10)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9231.80(58.47),51.46(0.31),49.41(0.17),63.14(0.15),49.73(0.29),4.45(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12328.80(2.95),35.18(0.02),nan(nan),nan(nan),50.00(0.02),4.41(0.10)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9640.80(59.28),49.31(0.31),49.71(0.15),63.28(0.24),49.57(0.28),4.55(0.07)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8952.20(80.12),52.93(0.42),49.61(0.48),63.43(0.40),50.29(0.30),4.52(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.20(1.30),35.18(0.01),nan(nan),nan(nan),50.00(0.01),4.57(0.06)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",10938.60(1731.43),42.49(9.10),51.16(0.27),63.87(0.50),50.29(0.44),4.49(0.09)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12116.40(176.11),36.30(0.93),nan(nan),nan(nan),50.06(0.14),4.50(0.04)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12332.60(0.55),35.16(0.00),nan(nan),nan(nan),49.98(0.00),4.53(0.10)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",10635.60(1779.26),44.08(9.35),50.71(1.48),64.14(0.69),50.35(0.78),4.39(0.09)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11982.20(305.84),37.00(1.61),nan(nan),nan(nan),50.13(0.19),4.48(0.09)
