,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",11357.00(0.00),88.84(0.00),49.73(0.05),11.21(0.03),50.00(0.00),45.27(0.16)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",11361.60(1.95),88.84(0.00),nan(nan),nan(nan),50.00(0.00),46.72(0.61)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",33590.60(1001.50),66.99(0.98),50.11(0.25),11.24(0.07),50.06(0.21),46.23(0.51)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",33511.00(876.26),67.07(0.86),50.18(0.34),11.27(0.15),50.09(0.29),46.47(0.33)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",11361.80(1.48),88.84(0.00),nan(nan),nan(nan),50.00(0.00),46.36(0.34)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",46813.40(365.02),54.00(0.36),49.99(0.52),11.14(0.14),50.04(0.33),46.36(0.84)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",37334.20(574.82),63.31(0.56),49.92(0.28),11.19(0.09),49.97(0.21),45.81(0.14)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",11361.40(0.89),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.71(0.45)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",17027.40(8624.33),83.27(8.47),48.68(0.29),10.71(0.11),49.71(0.24),45.98(0.27)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",11357.60(0.89),88.84(0.00),49.37(0.03),11.01(0.12),50.00(0.00),45.69(0.22)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),45.98(0.33)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",23247.40(2730.19),77.16(2.68),50.16(0.12),11.20(0.01),50.11(0.08),52.19(4.98)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11357.80(0.84),88.84(0.00),49.48(0.03),11.03(0.16),50.00(0.00),48.98(0.26)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.81(0.34)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",30356.60(654.23),70.17(0.64),50.37(0.15),11.26(0.04),50.21(0.11),48.37(0.38)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",30445.60(744.06),70.08(0.73),50.29(0.12),11.23(0.03),50.04(0.09),48.19(0.28)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",11360.80(0.84),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.04(0.22)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.25(0.25)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.67(0.73)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.44(0.26)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.17(0.33)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.04(0.51)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.84(0.29)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.09(0.21)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.91(0.24)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",11359.00(0.00),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.90(0.23)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",11357.00(0.00),88.84(0.00),49.62(0.04),11.21(0.03),50.00(0.00),46.91(0.33)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",11357.00(0.00),88.84(0.00),49.73(0.05),11.21(0.03),50.00(0.00),47.11(0.36)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",11361.60(1.95),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.67(0.55)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",33209.20(940.17),67.37(0.92),49.98(0.29),11.19(0.09),49.96(0.24),47.72(0.37)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",33248.80(794.31),67.33(0.78),50.18(0.30),11.25(0.10),50.04(0.25),47.76(0.29)
"{'T': 8, 'gamma': 3.191, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",11361.80(1.48),88.84(0.00),nan(nan),nan(nan),50.00(0.00),47.05(0.30)
