,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",443.80(5.59),36.51(0.80),80.54(0.91),77.84(0.71),50.19(0.34),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",244.80(0.84),64.98(0.12),nan(nan),nan(nan),49.74(0.17),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",345.20(7.85),50.62(1.12),49.07(1.17),48.83(1.68),49.54(0.77),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",352.20(6.69),49.61(0.96),49.85(1.11),49.57(1.66),49.34(0.53),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",242.20(2.17),65.35(0.31),nan(nan),nan(nan),50.07(0.30),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",241.00(0.71),65.52(0.10),nan(nan),nan(nan),50.20(0.08),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",241.00(0.71),65.52(0.10),nan(nan),nan(nan),50.20(0.08),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",241.80(0.84),65.41(0.12),nan(nan),nan(nan),50.07(0.14),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",241.00(0.71),65.52(0.10),nan(nan),nan(nan),50.20(0.08),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",241.20(0.45),65.49(0.06),nan(nan),nan(nan),50.17(0.05),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",241.80(0.84),65.41(0.12),nan(nan),nan(nan),50.07(0.14),0.19(0.05)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",242.20(1.10),65.35(0.16),nan(nan),nan(nan),50.03(0.16),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",243.00(1.00),65.24(0.14),nan(nan),nan(nan),49.94(0.16),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",242.40(0.89),65.32(0.13),nan(nan),nan(nan),50.02(0.14),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",454.00(4.53),35.05(0.65),85.28(2.36),83.62(1.67),49.85(0.20),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",443.40(6.31),36.57(0.90),83.05(1.24),82.28(0.93),50.41(0.44),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",361.80(106.83),48.24(15.28),76.77(2.81),72.16(4.57),49.85(0.50),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",342.00(12.71),51.07(1.82),48.27(2.18),49.04(2.40),49.75(1.95),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",346.80(5.40),50.39(0.77),50.32(1.70),51.15(1.90),49.73(1.01),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",244.00(1.87),65.09(0.27),nan(nan),nan(nan),50.24(0.24),0.16(0.00)
