,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",160.20(9.88),54.36(2.82),53.39(1.85),67.76(1.02),50.12(2.86),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",221.20(2.49),36.98(0.71),nan(nan),nan(nan),50.53(0.70),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",221.80(4.76),36.81(1.36),37.40(1.03),57.11(0.73),43.27(1.41),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",120.00(11.16),65.81(3.18),64.85(3.29),72.66(2.39),58.77(3.76),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",221.80(1.10),36.81(0.31),nan(nan),nan(nan),50.29(0.31),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",163.00(6.36),53.56(1.81),54.24(1.14),69.64(1.02),53.27(2.18),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",153.40(60.24),56.30(17.16),54.76(17.37),67.22(9.80),53.20(10.25),0.14(0.05)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",222.00(0.71),36.75(0.20),nan(nan),nan(nan),50.21(0.35),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",107.80(2.05),69.29(0.58),70.44(0.47),77.21(0.37),59.77(0.59),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",107.20(1.30),69.46(0.37),70.86(0.15),77.58(0.09),59.90(0.65),0.10(0.00)
