,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",538.80(9.58),56.65(0.77),50.65(0.91),75.51(0.64),51.09(0.75),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",538.00(28.52),56.72(2.29),50.36(1.29),75.38(0.65),51.11(1.78),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",941.40(1.82),24.26(0.15),nan(nan),nan(nan),50.18(0.16),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",722.00(19.13),41.91(1.54),51.30(0.44),76.11(0.28),50.22(0.85),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",509.80(79.41),58.99(6.39),47.90(0.79),73.78(0.39),49.35(1.11),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",944.60(0.89),24.01(0.07),nan(nan),nan(nan),49.87(0.18),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",634.20(10.33),48.98(0.83),49.73(1.20),74.81(0.50),49.42(1.04),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",798.40(154.99),35.77(12.47),50.07(1.44),75.76(1.10),49.83(0.18),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",942.60(1.14),24.17(0.09),nan(nan),nan(nan),50.07(0.06),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",300.40(0.55),75.83(0.04),46.24(0.34),72.40(0.16),49.86(0.12),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",301.00(0.00),75.78(0.00),46.20(0.18),72.38(0.11),49.85(0.00),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",941.80(1.48),24.23(0.12),nan(nan),nan(nan),50.18(0.16),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",536.00(10.84),56.88(0.87),50.78(0.97),75.57(0.67),51.38(0.73),0.33(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",542.00(28.57),56.40(2.30),50.13(1.28),75.26(0.64),50.67(1.85),0.32(0.00)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",942.80(1.92),24.15(0.15),nan(nan),nan(nan),50.13(0.18),0.36(0.07)
"{'T': 8, 'gamma': 7.143, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",721.80(18.03),41.93(1.45),51.11(0.64),75.97(0.36),50.28(0.86),0.32(0.00)
