,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",1576.20(5.85),50.68(0.18),50.45(0.02),52.25(0.08),50.45(0.17),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",1667.60(0.55),47.82(0.02),nan(nan),nan(nan),50.04(0.02),0.98(0.01)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",1621.00(30.77),49.28(0.96),48.97(0.41),51.02(0.26),49.33(0.88),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",1561.60(21.55),51.14(0.67),51.38(0.76),52.88(0.53),50.93(0.72),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",1666.60(0.55),47.85(0.02),nan(nan),nan(nan),50.07(0.02),1.00(0.05)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",1669.00(0.00),47.78(0.00),nan(nan),nan(nan),50.00(0.00),0.97(0.00)
