,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",45.00(0.00),77.16(0.00),42.04(3.46),20.80(1.05),52.60(0.00),0.66(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",45.00(0.00),77.16(0.00),40.56(3.46),20.60(0.99),52.60(0.00),0.66(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.65(3.83),20.38(1.33),51.51(0.00),0.68(0.03)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.91(3.83),20.39(1.34),51.51(0.00),0.68(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",46.00(0.00),76.65(0.00),41.73(3.81),20.46(1.40),51.51(0.00),0.71(0.10)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",45.00(0.00),77.16(0.00),39.93(1.28),20.12(0.46),52.60(0.00),1.86(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",45.00(0.00),77.16(0.00),38.05(0.88),19.66(0.34),52.60(0.00),1.86(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",46.00(0.00),76.65(0.00),38.96(0.90),19.73(0.23),51.51(0.00),1.88(0.03)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",46.00(0.00),76.65(0.00),39.76(0.82),19.94(0.24),51.51(0.00),1.89(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.70(0.78),20.02(0.21),51.51(0.00),1.87(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",46.00(0.00),76.65(0.00),44.75(3.58),22.76(1.13),52.27(0.00),0.56(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",46.00(0.00),76.65(0.00),43.53(3.68),22.80(1.29),52.27(0.00),0.56(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",47.00(0.00),76.14(0.00),43.19(3.44),22.89(1.04),51.18(0.00),0.58(0.03)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",47.00(0.00),76.14(0.00),43.24(3.31),22.85(1.03),51.18(0.00),0.56(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",47.00(0.00),76.14(0.00),43.82(3.16),23.07(1.08),51.18(0.00),0.57(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",46.00(0.00),76.65(0.00),41.13(1.28),21.31(0.36),52.27(0.00),1.16(0.08)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",46.00(0.00),76.65(0.00),38.89(1.00),20.88(0.34),52.27(0.00),1.15(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",47.00(0.00),76.14(0.00),39.18(0.82),21.29(0.36),51.18(0.00),1.13(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",47.00(0.00),76.14(0.00),39.68(0.67),21.41(0.33),51.18(0.00),1.13(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",47.00(0.00),76.14(0.00),40.53(0.56),21.40(0.32),51.18(0.00),1.15(0.04)
