,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",527.40(12.50),24.44(1.79),34.96(1.14),26.43(0.65),30.10(1.94),0.51(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",519.80(13.39),25.53(1.92),37.81(1.26),27.56(0.82),31.09(2.11),0.51(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",561.60(4.28),19.54(0.61),24.71(0.33),23.07(0.08),26.89(0.83),0.91(0.00)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",551.80(3.49),20.95(0.50),28.52(0.60),24.04(0.17),28.70(0.74),0.91(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",550.40(1.95),21.15(0.28),34.10(0.76),25.81(0.23),28.70(0.46),0.94(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",551.00(2.35),21.06(0.34),37.03(0.83),26.81(0.27),28.52(0.30),0.91(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",550.20(4.82),21.17(0.69),40.06(0.86),27.90(0.33),28.45(0.81),0.91(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",553.40(8.65),20.72(1.24),25.63(0.86),23.35(0.22),27.23(1.49),0.47(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",539.20(13.24),22.75(1.90),29.52(2.48),24.50(0.78),29.12(2.10),0.47(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",531.60(11.55),23.84(1.65),34.11(2.03),26.32(0.89),29.60(1.70),0.47(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",522.80(10.66),25.10(1.53),36.72(1.88),27.48(1.09),30.54(1.44),0.47(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",517.00(6.28),25.93(0.90),39.39(1.74),28.69(1.12),31.06(1.00),0.47(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",561.20(2.05),19.60(0.29),24.54(0.59),23.04(0.14),26.91(0.42),0.67(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",548.20(3.27),21.46(0.47),28.13(0.62),23.94(0.18),29.45(0.64),0.67(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",545.00(4.85),21.92(0.69),33.38(0.32),25.72(0.26),29.80(0.82),0.70(0.05)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",546.60(7.83),21.69(1.12),36.20(0.45),26.64(0.26),29.25(1.39),0.67(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",546.20(9.23),21.75(1.32),39.09(0.60),27.76(0.34),29.12(1.55),0.67(0.00)
