,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11640.20(49.28),38.80(0.26),48.07(0.18),62.96(0.18),47.44(0.27),166.55(0.39)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11429.60(33.39),39.90(0.18),48.23(0.23),63.11(0.20),47.39(0.19),170.46(5.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12364.00(21.11),34.99(0.11),47.11(0.08),62.20(0.10),48.18(0.15),561.40(14.74)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12327.80(17.57),35.18(0.09),47.21(0.13),62.40(0.10),47.99(0.09),565.69(15.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12244.40(25.98),35.62(0.14),47.44(0.16),62.59(0.15),47.65(0.11),555.62(1.30)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",12147.80(33.77),36.13(0.18),47.59(0.19),62.68(0.18),47.51(0.17),564.62(15.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",11979.60(48.86),37.01(0.26),47.78(0.24),62.78(0.21),47.35(0.27),565.08(16.43)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12083.80(37.24),36.46(0.20),47.45(0.28),62.41(0.16),47.42(0.24),89.73(0.34)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",11952.00(34.64),37.16(0.18),47.61(0.30),62.61(0.16),47.37(0.21),89.69(0.21)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11739.80(47.57),38.27(0.25),47.72(0.34),62.79(0.17),47.12(0.20),89.61(0.19)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11571.20(28.07),39.16(0.15),47.78(0.33),62.87(0.17),47.04(0.14),89.57(0.09)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11325.20(48.10),40.45(0.25),47.87(0.30),62.96(0.16),47.07(0.30),89.69(0.24)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12362.40(16.64),35.00(0.09),47.19(0.15),62.19(0.15),48.13(0.10),293.27(10.29)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12322.00(9.14),35.21(0.05),47.36(0.14),62.40(0.13),47.88(0.08),284.25(1.86)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12219.20(9.47),35.75(0.05),47.56(0.19),62.58(0.16),47.56(0.13),283.43(1.31)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",12112.80(17.73),36.31(0.09),47.67(0.21),62.67(0.19),47.40(0.24),294.40(10.57)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",11947.20(9.81),37.18(0.05),47.80(0.21),62.75(0.19),47.22(0.14),283.67(0.91)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12053.40(40.87),36.62(0.21),47.52(0.36),62.50(0.22),47.64(0.16),170.73(0.42)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",11975.00(32.99),37.04(0.17),47.59(0.36),62.65(0.17),47.53(0.10),170.69(0.50)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11791.60(45.07),38.00(0.24),47.78(0.37),62.86(0.13),47.48(0.17),176.50(5.74)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11646.00(50.96),38.77(0.27),47.92(0.38),62.98(0.12),47.43(0.23),174.51(5.76)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11444.20(56.49),39.83(0.30),48.10(0.38),63.13(0.13),47.33(0.26),170.48(0.47)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12351.40(22.33),35.06(0.12),47.27(0.07),62.24(0.09),48.56(0.11),1109.44(17.12)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12322.20(8.58),35.21(0.05),47.40(0.10),62.45(0.08),48.38(0.08),1116.02(16.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12272.60(24.08),35.47(0.13),47.60(0.14),62.62(0.12),47.98(0.16),1112.88(19.60)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",12197.60(8.62),35.87(0.05),47.73(0.15),62.72(0.14),47.77(0.05),1109.21(23.75)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",12030.40(20.66),36.75(0.11),47.89(0.17),62.83(0.16),47.64(0.09),1182.70(62.24)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12099.80(15.25),36.38(0.08),47.22(0.20),62.31(0.23),47.34(0.07),100.43(0.70)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",11981.80(22.90),37.00(0.12),47.38(0.25),62.51(0.28),47.23(0.11),96.35(3.51)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11748.00(56.60),38.23(0.30),47.60(0.29),62.73(0.30),47.16(0.29),93.57(0.14)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11580.20(52.99),39.11(0.28),47.73(0.30),62.84(0.30),47.07(0.28),93.67(0.34)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11336.60(57.59),40.39(0.30),47.88(0.30),62.95(0.30),47.06(0.32),93.68(0.31)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12374.80(29.79),34.93(0.16),47.21(0.11),62.25(0.12),48.43(0.16),569.42(15.70)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12326.20(41.79),35.19(0.22),47.33(0.12),62.44(0.16),48.33(0.23),561.48(2.41)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12265.20(39.68),35.51(0.21),47.52(0.19),62.58(0.18),47.97(0.20),570.69(17.76)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",12169.00(51.75),36.02(0.27),47.63(0.21),62.66(0.19),47.80(0.24),571.72(15.10)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",12010.40(41.06),36.85(0.22),47.79(0.23),62.76(0.20),47.58(0.17),560.76(3.08)
