,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",586.80(4.76),46.41(0.44),40.22(0.78),43.68(0.89),46.32(0.44),5.54(0.05)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",568.40(2.51),48.09(0.23),35.01(0.32),41.09(0.24),47.98(0.23),15.78(0.24)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",567.40(6.23),48.18(0.57),35.05(0.52),41.15(0.33),48.07(0.57),15.81(0.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",567.80(4.44),48.15(0.41),36.59(0.76),41.78(0.47),48.03(0.41),15.76(0.30)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",569.40(4.39),48.00(0.40),37.80(0.84),42.32(0.51),47.89(0.40),15.81(0.07)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",570.20(5.63),47.93(0.51),39.34(0.88),42.94(0.57),47.82(0.51),15.69(0.21)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",587.40(6.84),46.36(0.62),37.55(1.12),42.30(0.54),46.25(0.62),3.48(0.11)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",584.60(9.40),46.61(0.86),38.07(1.24),42.75(0.66),46.51(0.86),3.44(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",582.20(11.48),46.83(1.05),39.53(1.18),43.50(0.79),46.74(1.05),3.49(0.11)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",580.80(12.99),46.96(1.19),40.53(1.21),44.00(0.87),46.87(1.18),3.45(0.07)
