,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",190.20(7.98),45.66(2.28),43.49(1.74),61.39(1.41),42.23(2.51),0.94(0.04)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",227.80(4.92),34.91(1.41),38.20(1.11),57.39(0.63),33.74(1.65),1.79(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",218.20(7.98),37.66(2.28),41.97(1.63),61.07(0.92),34.32(2.43),1.81(0.03)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",209.40(7.99),40.17(2.28),42.80(2.27),61.94(1.21),36.45(2.35),1.82(0.09)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",202.00(8.94),42.29(2.56),43.01(2.47),62.04(1.26),38.52(2.70),1.81(0.03)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",198.20(5.54),43.37(1.58),43.12(2.68),62.10(1.45),39.02(1.64),1.80(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",213.00(5.34),39.14(1.53),37.20(0.80),56.54(0.50),38.36(1.74),0.76(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",201.00(6.00),42.57(1.71),40.27(0.67),59.08(0.47),39.65(2.26),0.77(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",190.60(8.38),45.54(2.40),41.95(0.57),60.10(0.50),41.52(2.75),0.76(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",184.80(7.66),47.20(2.19),42.82(0.54),60.54(0.61),42.88(2.35),0.75(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",181.20(5.22),48.23(1.49),43.65(0.72),60.88(0.55),43.51(1.75),0.75(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",226.60(5.37),35.26(1.53),38.18(0.77),57.33(0.42),34.25(1.59),1.19(0.04)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",214.00(5.10),38.86(1.46),41.70(0.49),60.41(0.21),35.18(1.70),1.18(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",204.80(5.26),41.49(1.50),43.01(0.36),61.57(0.26),37.45(1.66),1.20(0.04)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",198.60(7.44),43.26(2.12),43.56(0.39),61.82(0.25),39.25(2.15),1.21(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",189.40(6.73),45.89(1.92),44.21(0.51),62.12(0.17),41.72(2.18),1.20(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",215.80(3.27),38.34(0.93),38.53(0.60),57.35(0.83),37.84(1.38),1.19(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",205.80(4.66),41.20(1.33),41.97(0.37),60.57(0.84),38.99(0.51),1.18(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",203.20(3.63),41.94(1.04),43.11(0.72),61.52(0.44),38.77(1.05),1.19(0.03)
