,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",397.60(12.14),42.29(1.76),45.15(0.74),42.92(0.70),43.85(1.63),0.78(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",424.60(4.28),38.37(0.62),43.10(0.51),38.85(0.31),41.29(0.72),1.59(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",418.00(6.89),39.33(1.00),44.30(0.61),39.74(0.44),42.06(1.06),1.59(0.03)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",413.40(6.54),40.00(0.95),44.25(0.81),40.91(0.66),42.47(1.02),1.59(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",410.60(3.21),40.41(0.47),44.33(0.83),41.60(0.71),42.69(0.48),1.63(0.09)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",406.80(2.17),40.96(0.31),44.75(0.74),42.54(0.74),42.96(0.31),1.60(0.02)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",420.80(6.50),38.93(0.94),42.41(0.59),38.48(0.19),41.44(0.94),0.62(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",412.80(10.08),40.09(1.46),43.26(0.92),39.14(0.50),42.44(1.44),0.62(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",408.80(12.21),40.67(1.77),43.11(1.12),40.14(1.06),42.71(1.89),0.62(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",404.40(14.45),41.31(2.10),43.31(1.17),40.89(1.31),43.24(2.23),0.62(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",404.60(10.09),41.28(1.46),43.99(1.14),41.90(1.41),43.04(1.58),0.62(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",426.40(8.56),38.11(1.24),42.87(0.45),38.80(0.32),40.96(1.45),1.04(0.05)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",413.60(8.62),39.97(1.25),44.15(0.48),39.56(0.35),42.60(1.41),1.01(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",411.60(12.70),40.26(1.84),43.95(0.53),40.43(0.58),42.65(1.94),1.00(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",408.40(9.13),40.73(1.32),44.07(0.55),41.05(0.51),42.94(1.41),1.01(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",411.80(8.47),40.23(1.23),44.69(0.63),41.97(0.50),42.21(1.39),1.02(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",417.40(17.91),39.42(2.60),42.91(2.00),39.23(1.35),41.87(2.64),1.02(0.04)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",407.60(20.32),40.84(2.95),43.83(1.90),39.92(1.06),43.07(3.03),0.99(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",406.80(17.02),40.96(2.47),43.85(2.07),40.70(1.26),42.97(2.49),1.02(0.05)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",403.80(16.66),41.39(2.42),44.05(2.14),41.37(1.32),43.23(2.43),1.00(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",404.20(16.72),41.34(2.43),44.60(2.15),42.20(1.34),43.01(2.45),1.00(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",424.60(6.91),38.37(1.00),42.79(0.26),38.71(0.20),41.51(0.97),2.91(0.01)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",421.00(2.24),38.90(0.32),44.08(0.26),39.50(0.17),41.76(0.28),2.96(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",417.80(4.55),39.36(0.66),44.21(0.34),40.66(0.29),41.98(0.78),2.93(0.02)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",417.00(3.54),39.48(0.51),44.41(0.42),41.33(0.27),41.83(0.54),2.97(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",410.20(1.79),40.46(0.26),45.05(0.49),42.36(0.45),42.59(0.24),2.91(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",417.00(11.38),39.48(1.65),43.24(0.58),38.94(0.27),41.88(1.92),0.82(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",408.40(8.29),40.73(1.20),44.33(0.67),39.66(0.41),42.93(1.54),0.83(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",401.80(3.63),41.68(0.53),44.26(0.77),40.66(0.61),43.72(0.74),0.85(0.08)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",401.00(10.02),41.80(1.46),44.41(0.83),41.35(0.65),43.62(1.70),0.82(0.00)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",396.20(3.27),42.50(0.47),44.96(0.92),42.26(0.81),44.11(0.65),0.82(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",423.40(1.52),38.55(0.22),43.07(0.18),38.90(0.19),41.65(0.19),1.80(0.03)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",417.60(3.21),39.39(0.47),44.54(0.14),39.96(0.16),42.29(0.50),1.79(0.01)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",416.60(2.19),39.54(0.32),44.61(0.29),40.99(0.21),42.14(0.26),1.82(0.09)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",414.40(4.83),39.85(0.70),44.78(0.31),41.86(0.13),42.27(0.82),1.78(0.02)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",415.00(3.81),39.77(0.55),45.39(0.39),42.89(0.22),41.89(0.56),1.78(0.02)
