,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",278.40(0.55),70.94(0.06),48.01(0.50),69.63(0.43),50.03(0.10),1.31(0.00)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",276.60(1.14),71.13(0.12),46.72(0.10),69.51(0.09),49.93(0.17),1.95(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",276.00(0.71),71.19(0.07),46.69(0.22),68.68(0.14),49.97(0.14),1.99(0.09)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",276.20(0.84),71.17(0.09),47.01(0.26),68.91(0.16),50.02(0.17),1.95(0.01)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",277.80(0.84),71.00(0.09),47.40(0.22),69.10(0.14),49.90(0.17),1.96(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",278.60(1.14),70.92(0.12),47.88(0.20),69.36(0.16),49.87(0.17),1.98(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",277.00(1.41),71.09(0.15),46.41(0.28),69.31(0.20),50.03(0.08),1.19(0.04)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",276.60(1.14),71.13(0.12),46.45(0.29),68.57(0.19),50.06(0.04),1.18(0.02)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",276.40(1.52),71.15(0.16),46.73(0.38),68.84(0.29),50.07(0.14),1.16(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",277.20(1.64),71.06(0.17),47.12(0.46),69.08(0.28),50.01(0.17),1.16(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",277.40(1.14),71.04(0.12),47.67(0.53),69.45(0.35),50.02(0.09),1.20(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",276.00(1.58),71.19(0.17),46.49(0.20),69.43(0.17),49.99(0.13),1.47(0.00)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",275.20(0.45),71.27(0.05),46.53(0.18),68.61(0.17),50.05(0.08),1.47(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",275.40(0.55),71.25(0.06),46.88(0.20),68.81(0.19),50.06(0.05),1.48(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",276.40(1.14),71.15(0.12),47.25(0.24),68.95(0.17),50.01(0.08),1.47(0.01)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",276.80(0.45),71.11(0.05),47.68(0.26),69.13(0.10),50.00(0.05),1.51(0.07)
