,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",331.60(5.32),41.62(0.94),36.27(0.92),30.60(0.53),38.65(1.16),2.60(0.04)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",398.20(8.17),29.89(1.44),25.72(0.49),25.90(0.16),28.36(1.25),6.88(0.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",351.00(7.91),38.20(1.39),31.06(0.70),27.82(0.31),34.75(1.10),6.88(0.12)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",341.20(7.95),39.93(1.40),33.02(1.06),29.05(0.40),36.16(1.04),6.88(0.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",332.20(7.16),41.51(1.26),34.31(1.17),29.75(0.46),37.52(1.01),6.90(0.16)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",327.20(5.45),42.39(0.96),35.92(1.29),30.52(0.56),38.40(0.94),6.92(0.16)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",385.00(9.43),32.22(1.66),28.55(1.37),26.72(0.38),31.87(2.22),1.72(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",355.80(8.38),37.36(1.48),31.88(1.14),28.06(0.44),35.19(1.56),1.71(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",339.60(13.61),40.21(2.40),33.82(1.62),29.39(0.60),37.18(2.35),1.71(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",330.60(10.90),41.80(1.92),35.13(1.65),30.21(0.82),38.52(1.84),1.74(0.07)
