,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1911.00(10.98),58.46(0.24),47.13(0.59),37.20(0.44),49.17(0.26),40.10(0.19)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1942.20(6.98),57.78(0.15),47.53(0.51),37.40(0.38),49.25(0.19),40.07(0.12)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1834.60(1.95),60.12(0.04),46.00(0.18),36.39(0.08),49.63(0.04),109.36(0.15)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1840.00(1.87),60.00(0.04),46.10(0.15),36.60(0.08),49.58(0.04),133.93(26.51)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1878.20(5.54),59.17(0.12),46.58(0.17),36.89(0.09),49.30(0.12),137.98(20.92)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1908.00(6.44),58.52(0.14),46.91(0.14),37.04(0.09),49.19(0.15),114.82(0.89)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1943.40(3.65),57.75(0.08),47.32(0.13),37.28(0.11),49.22(0.04),115.71(1.39)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1831.40(1.67),60.19(0.04),46.43(0.43),36.77(0.23),49.69(0.04),27.43(0.11)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1838.00(3.54),60.04(0.08),46.41(0.45),36.89(0.15),49.63(0.08),27.31(0.16)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1870.20(8.07),59.34(0.18),47.04(0.43),37.24(0.13),49.46(0.19),27.28(0.26)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1900.40(3.51),58.69(0.08),47.40(0.44),37.39(0.13),49.37(0.08),27.03(0.12)
