,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",336.80(1.64),72.88(0.13),47.65(0.44),74.99(0.40),49.19(0.41),5.11(0.06)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",333.80(2.59),73.12(0.21),45.66(0.05),73.50(0.12),48.63(0.31),14.39(0.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",310.80(2.28),74.98(0.18),46.05(0.06),74.53(0.09),49.26(0.14),14.36(0.15)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",309.40(2.70),75.09(0.22),45.88(0.10),74.50(0.11),49.52(0.19),14.35(0.12)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",315.40(2.79),74.61(0.22),46.15(0.11),74.61(0.14),49.32(0.24),14.30(0.13)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",322.80(4.32),74.01(0.35),46.86(0.14),74.84(0.13),49.28(0.25),14.32(0.06)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",349.60(2.30),71.85(0.19),45.97(0.58),73.65(0.39),48.49(0.20),3.25(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",327.40(6.02),73.64(0.49),46.62(0.95),74.79(0.52),49.08(0.44),3.23(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",325.60(3.05),73.78(0.25),46.78(0.98),74.92(0.52),49.22(0.27),3.26(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",331.40(4.04),73.32(0.33),47.16(0.95),75.04(0.48),48.96(0.31),3.25(0.04)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",335.60(2.97),72.98(0.24),47.87(0.83),75.28(0.38),49.04(0.20),3.26(0.12)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",333.40(2.97),73.16(0.24),45.60(0.21),73.59(0.11),48.74(0.22),7.90(0.14)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",308.60(1.82),75.15(0.15),46.15(0.20),74.59(0.19),49.45(0.06),7.91(0.14)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",307.60(4.39),75.23(0.35),46.16(0.24),74.69(0.27),49.71(0.24),7.93(0.14)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",314.00(6.28),74.72(0.51),46.49(0.26),74.83(0.29),49.54(0.33),7.90(0.09)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",323.20(3.27),73.98(0.26),47.27(0.27),75.07(0.27),49.40(0.35),7.93(0.11)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",346.20(5.81),72.13(0.47),45.92(0.47),73.69(0.40),48.79(0.36),5.70(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",329.20(3.70),73.49(0.30),46.23(0.55),74.59(0.47),48.96(0.48),5.64(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",326.80(2.59),73.69(0.21),46.14(0.46),74.61(0.41),49.07(0.35),5.64(0.10)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",329.20(4.38),73.49(0.35),46.48(0.47),74.77(0.41),49.22(0.52),5.65(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",338.00(3.08),72.79(0.25),47.25(0.51),75.09(0.46),49.06(0.27),5.64(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",333.60(1.95),73.14(0.16),45.79(0.10),73.59(0.10),48.57(0.17),27.86(0.13)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",312.00(2.12),74.88(0.17),46.39(0.13),74.70(0.11),49.20(0.13),28.29(0.75)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",313.20(1.64),74.78(0.13),46.27(0.14),74.74(0.11),49.23(0.16),29.03(0.52)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",317.20(1.64),74.46(0.13),46.56(0.13),74.87(0.14),49.23(0.07),29.28(0.57)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",325.20(4.09),73.82(0.33),47.32(0.13),75.16(0.13),49.20(0.45),29.13(0.56)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",348.20(7.26),71.96(0.58),45.41(0.68),73.40(0.33),48.56(0.78),3.97(0.06)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",324.80(7.33),73.85(0.59),46.10(0.92),74.33(0.40),49.36(0.62),4.09(0.11)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",326.00(6.16),73.75(0.50),46.25(0.89),74.45(0.50),49.16(0.65),4.07(0.04)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",328.20(4.21),73.57(0.34),46.66(0.85),74.60(0.49),49.25(0.55),4.06(0.06)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",335.20(5.76),73.01(0.46),47.38(0.82),74.83(0.48),49.04(0.50),3.99(0.05)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",330.00(6.04),73.43(0.49),45.80(0.18),73.52(0.16),48.99(0.41),15.60(0.29)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",308.20(2.39),75.19(0.19),46.45(0.23),74.67(0.24),49.40(0.17),15.84(0.19)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",306.80(2.68),75.30(0.22),46.41(0.23),74.79(0.26),49.61(0.26),15.67(0.18)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",311.20(2.05),74.94(0.17),46.77(0.27),74.92(0.34),49.68(0.25),14.99(0.16)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",319.20(1.92),74.30(0.15),47.59(0.26),75.19(0.32),49.66(0.25),14.96(0.18)
